seed: 1024
device: cuda:0
data_path: ./data/
dataset: Beauty
num_workers: 4
id_type: tiger
in_dims: [4096, 2048, 1024, 512, 256, 128, 64, 32]
codebook_dim: 32
codebook_sizes: [256, 256, 256, 256]
rqvae_dropout: 0
sinkhorn_open: True
sinkhorn_epsilons: [0.0, 0.0, 0.0, 0.003]
sinkhorn_iter: 50
kmeans_init_iter: 10
kmeans_cluster: 10
mu: 0.25
alpha: 0.02
beta: 0.0001
rqvae_epochs: 20000
rqvae_batch_size: 1024
rqvae_lr: 0.001
rqvae_wd: 0.0001
rqvae_optimizer: adamw
rqvae_eval_step: 2000
rqvae_eval_metric: unique_key_ratio
t54rec_config_dir_path: ./extra_config/tiger
rqvae_select_position: last
t54rec_epochs: 200
t54rec_train_batch_size: 256
t54rec_valid_batch_size: 64
t54rec_test_batch_size: 64
max_len: 20
t54rec_lr: 0.0005
t54rec_wd: 0.01
t54rec_optimizer: adamw
scheduler_type: cosine
warmup_ratio: 0.01
t54rec_eval_step: 1
t54rec_early_stop_step: 20
t54rec_eval_metric: loss
beam_size: 20
metrics: ['Recall', 'NDCG']
Step [140/514] - Avg Loss: 1.6299, Current lr: 0.0004618598
Step [150/514] - Avg Loss: 1.6303, Current lr: 0.0004618188
Step [160/514] - Avg Loss: 1.6297, Current lr: 0.0004617778
Step [170/514] - Avg Loss: 1.6305, Current lr: 0.0004617368
Step [180/514] - Avg Loss: 1.6322, Current lr: 0.0004616957
Step [190/514] - Avg Loss: 1.6325, Current lr: 0.0004616547
Step [200/514] - Avg Loss: 1.6331, Current lr: 0.0004616136
Step [210/514] - Avg Loss: 1.6335, Current lr: 0.0004615725
Step [220/514] - Avg Loss: 1.6332, Current lr: 0.0004615313
Step [230/514] - Avg Loss: 1.6338, Current lr: 0.0004614902
Step [240/514] - Avg Loss: 1.6344, Current lr: 0.0004614490
Step [250/514] - Avg Loss: 1.6343, Current lr: 0.0004614079
Step [260/514] - Avg Loss: 1.6351, Current lr: 0.0004613667
Step [270/514] - Avg Loss: 1.6359, Current lr: 0.0004613254
Step [280/514] - Avg Loss: 1.6362, Current lr: 0.0004612842
Step [290/514] - Avg Loss: 1.6361, Current lr: 0.0004612429
Step [300/514] - Avg Loss: 1.6365, Current lr: 0.0004612016
Step [310/514] - Avg Loss: 1.6367, Current lr: 0.0004611603
Step [320/514] - Avg Loss: 1.6373, Current lr: 0.0004611190
Step [330/514] - Avg Loss: 1.6371, Current lr: 0.0004610777
Step [340/514] - Avg Loss: 1.6369, Current lr: 0.0004610363
Step [350/514] - Avg Loss: 1.6374, Current lr: 0.0004609949
Step [360/514] - Avg Loss: 1.6377, Current lr: 0.0004609535
Step [370/514] - Avg Loss: 1.6380, Current lr: 0.0004609121
Step [380/514] - Avg Loss: 1.6380, Current lr: 0.0004608707
Step [390/514] - Avg Loss: 1.6380, Current lr: 0.0004608292
Step [400/514] - Avg Loss: 1.6381, Current lr: 0.0004607877
Step [410/514] - Avg Loss: 1.6379, Current lr: 0.0004607462
Step [420/514] - Avg Loss: 1.6386, Current lr: 0.0004607047
Step [430/514] - Avg Loss: 1.6390, Current lr: 0.0004606631
Step [440/514] - Avg Loss: 1.6393, Current lr: 0.0004606216
Step [450/514] - Avg Loss: 1.6399, Current lr: 0.0004605800
Step [460/514] - Avg Loss: 1.6399, Current lr: 0.0004605384
Step [470/514] - Avg Loss: 1.6402, Current lr: 0.0004604968
Step [480/514] - Avg Loss: 1.6402, Current lr: 0.0004604551
Step [490/514] - Avg Loss: 1.6405, Current lr: 0.0004604135
Step [500/514] - Avg Loss: 1.6406, Current lr: 0.0004603718
Step [510/514] - Avg Loss: 1.6405, Current lr: 0.0004603301
Epoch [38] - Avg Loss: 1.6403
Epoch [38] - Start Eval
Eval - Avg Loss: 1.7616
Patience: 3/20
Epoch [39] - Start Training
Step [10/514] - Avg Loss: 1.6119, Current lr: 0.0004602717
Step [20/514] - Avg Loss: 1.6114, Current lr: 0.0004602299
Step [30/514] - Avg Loss: 1.6182, Current lr: 0.0004601881
Step [40/514] - Avg Loss: 1.6183, Current lr: 0.0004601463
Step [50/514] - Avg Loss: 1.6161, Current lr: 0.0004601045
Step [60/514] - Avg Loss: 1.6168, Current lr: 0.0004600627
Step [70/514] - Avg Loss: 1.6166, Current lr: 0.0004600208
Step [80/514] - Avg Loss: 1.6190, Current lr: 0.0004599790
Step [90/514] - Avg Loss: 1.6195, Current lr: 0.0004599371
Step [100/514] - Avg Loss: 1.6184, Current lr: 0.0004598952
Step [110/514] - Avg Loss: 1.6193, Current lr: 0.0004598532
Step [120/514] - Avg Loss: 1.6206, Current lr: 0.0004598113
Step [130/514] - Avg Loss: 1.6229, Current lr: 0.0004597693
Step [140/514] - Avg Loss: 1.6243, Current lr: 0.0004597273
Step [150/514] - Avg Loss: 1.6243, Current lr: 0.0004596853
Step [160/514] - Avg Loss: 1.6257, Current lr: 0.0004596433
Step [170/514] - Avg Loss: 1.6260, Current lr: 0.0004596012
Step [180/514] - Avg Loss: 1.6273, Current lr: 0.0004595591
Step [190/514] - Avg Loss: 1.6266, Current lr: 0.0004595170
Step [200/514] - Avg Loss: 1.6274, Current lr: 0.0004594749
Step [210/514] - Avg Loss: 1.6273, Current lr: 0.0004594328
Step [220/514] - Avg Loss: 1.6278, Current lr: 0.0004593906
Step [230/514] - Avg Loss: 1.6276, Current lr: 0.0004593485
Step [240/514] - Avg Loss: 1.6281, Current lr: 0.0004593063
Step [250/514] - Avg Loss: 1.6285, Current lr: 0.0004592641
Step [260/514] - Avg Loss: 1.6289, Current lr: 0.0004592218
Step [270/514] - Avg Loss: 1.6291, Current lr: 0.0004591796
Step [280/514] - Avg Loss: 1.6296, Current lr: 0.0004591373
Step [290/514] - Avg Loss: 1.6303, Current lr: 0.0004590950
Step [300/514] - Avg Loss: 1.6304, Current lr: 0.0004590527
Step [310/514] - Avg Loss: 1.6311, Current lr: 0.0004590104
Step [320/514] - Avg Loss: 1.6313, Current lr: 0.0004589680
Step [330/514] - Avg Loss: 1.6321, Current lr: 0.0004589257
Step [340/514] - Avg Loss: 1.6320, Current lr: 0.0004588833
Step [350/514] - Avg Loss: 1.6321, Current lr: 0.0004588408
Step [360/514] - Avg Loss: 1.6327, Current lr: 0.0004587984
Step [370/514] - Avg Loss: 1.6328, Current lr: 0.0004587560
Step [380/514] - Avg Loss: 1.6335, Current lr: 0.0004587135
Step [390/514] - Avg Loss: 1.6335, Current lr: 0.0004586710
Step [400/514] - Avg Loss: 1.6341, Current lr: 0.0004586285
Step [410/514] - Avg Loss: 1.6335, Current lr: 0.0004585860
Step [420/514] - Avg Loss: 1.6331, Current lr: 0.0004585434
Step [430/514] - Avg Loss: 1.6331, Current lr: 0.0004585008
Step [440/514] - Avg Loss: 1.6333, Current lr: 0.0004584583
Step [450/514] - Avg Loss: 1.6336, Current lr: 0.0004584156
Step [460/514] - Avg Loss: 1.6340, Current lr: 0.0004583730
Step [470/514] - Avg Loss: 1.6340, Current lr: 0.0004583304
Step [480/514] - Avg Loss: 1.6346, Current lr: 0.0004582877
Step [490/514] - Avg Loss: 1.6347, Current lr: 0.0004582450
Step [500/514] - Avg Loss: 1.6346, Current lr: 0.0004582023
Step [510/514] - Avg Loss: 1.6343, Current lr: 0.0004581596
Epoch [39] - Avg Loss: 1.6344
Epoch [39] - Start Eval
Eval - Avg Loss: 1.7563
Save model at epoch [39]
Epoch [40] - Start Training
Step [10/514] - Avg Loss: 1.5892, Current lr: 0.0004580997
Step [20/514] - Avg Loss: 1.5969, Current lr: 0.0004580569
Step [30/514] - Avg Loss: 1.6051, Current lr: 0.0004580141
Step [40/514] - Avg Loss: 1.6000, Current lr: 0.0004579713
Step [50/514] - Avg Loss: 1.6027, Current lr: 0.0004579285
Step [60/514] - Avg Loss: 1.6069, Current lr: 0.0004578856
Step [70/514] - Avg Loss: 1.6074, Current lr: 0.0004578427
Step [80/514] - Avg Loss: 1.6092, Current lr: 0.0004577999
Step [90/514] - Avg Loss: 1.6094, Current lr: 0.0004577569
Step [100/514] - Avg Loss: 1.6118, Current lr: 0.0004577140
Step [110/514] - Avg Loss: 1.6132, Current lr: 0.0004576710
Step [120/514] - Avg Loss: 1.6152, Current lr: 0.0004576281
Step [130/514] - Avg Loss: 1.6153, Current lr: 0.0004575851
Step [140/514] - Avg Loss: 1.6161, Current lr: 0.0004575421
Step [150/514] - Avg Loss: 1.6178, Current lr: 0.0004574990
Step [160/514] - Avg Loss: 1.6194, Current lr: 0.0004574560
Step [170/514] - Avg Loss: 1.6198, Current lr: 0.0004574129
Step [180/514] - Avg Loss: 1.6210, Current lr: 0.0004573698
Step [190/514] - Avg Loss: 1.6203, Current lr: 0.0004573267
Step [200/514] - Avg Loss: 1.6211, Current lr: 0.0004572836
Step [210/514] - Avg Loss: 1.6215, Current lr: 0.0004572404
Step [220/514] - Avg Loss: 1.6227, Current lr: 0.0004571972
Step [230/514] - Avg Loss: 1.6226, Current lr: 0.0004571540
Step [240/514] - Avg Loss: 1.6234, Current lr: 0.0004571108
Step [250/514] - Avg Loss: 1.6237, Current lr: 0.0004570676
Step [260/514] - Avg Loss: 1.6243, Current lr: 0.0004570243
Step [270/514] - Avg Loss: 1.6244, Current lr: 0.0004569811
Step [280/514] - Avg Loss: 1.6247, Current lr: 0.0004569378
Step [290/514] - Avg Loss: 1.6248, Current lr: 0.0004568945
Step [300/514] - Avg Loss: 1.6254, Current lr: 0.0004568511
Step [310/514] - Avg Loss: 1.6257, Current lr: 0.0004568078
Step [320/514] - Avg Loss: 1.6255, Current lr: 0.0004567644
Step [330/514] - Avg Loss: 1.6257, Current lr: 0.0004567210
Step [340/514] - Avg Loss: 1.6258, Current lr: 0.0004566776
Step [350/514] - Avg Loss: 1.6259, Current lr: 0.0004566342
Step [360/514] - Avg Loss: 1.6261, Current lr: 0.0004565907
Step [370/514] - Avg Loss: 1.6267, Current lr: 0.0004565473
Step [380/514] - Avg Loss: 1.6268, Current lr: 0.0004565038
Step [390/514] - Avg Loss: 1.6271, Current lr: 0.0004564603
Step [400/514] - Avg Loss: 1.6272, Current lr: 0.0004564167
Step [410/514] - Avg Loss: 1.6271, Current lr: 0.0004563732
Step [420/514] - Avg Loss: 1.6269, Current lr: 0.0004563296
Step [430/514] - Avg Loss: 1.6271, Current lr: 0.0004562860
Step [440/514] - Avg Loss: 1.6271, Current lr: 0.0004562424
Step [450/514] - Avg Loss: 1.6278, Current lr: 0.0004561988
Step [460/514] - Avg Loss: 1.6284, Current lr: 0.0004561552
Step [470/514] - Avg Loss: 1.6283, Current lr: 0.0004561115
Step [480/514] - Avg Loss: 1.6286, Current lr: 0.0004560678
Step [490/514] - Avg Loss: 1.6285, Current lr: 0.0004560241
Step [500/514] - Avg Loss: 1.6284, Current lr: 0.0004559804
Step [510/514] - Avg Loss: 1.6285, Current lr: 0.0004559366
Epoch [40] - Avg Loss: 1.6286
Epoch [40] - Start Eval
Eval - Avg Loss: 1.7546
Save model at epoch [40]
Epoch [41] - Start Training
Step [10/514] - Avg Loss: 1.5831, Current lr: 0.0004558754
Step [20/514] - Avg Loss: 1.5936, Current lr: 0.0004558316
Step [30/514] - Avg Loss: 1.5963, Current lr: 0.0004557878
Step [40/514] - Avg Loss: 1.5967, Current lr: 0.0004557439
Step [50/514] - Avg Loss: 1.5977, Current lr: 0.0004557001
Step [60/514] - Avg Loss: 1.6002, Current lr: 0.0004556562
Step [70/514] - Avg Loss: 1.6020, Current lr: 0.0004556123
Step [80/514] - Avg Loss: 1.6029, Current lr: 0.0004555684
Step [90/514] - Avg Loss: 1.6007, Current lr: 0.0004555245
Step [100/514] - Avg Loss: 1.6035, Current lr: 0.0004554806
Step [110/514] - Avg Loss: 1.6025, Current lr: 0.0004554366
Step [120/514] - Avg Loss: 1.6034, Current lr: 0.0004553926
Step [130/514] - Avg Loss: 1.6036, Current lr: 0.0004553486
Step [140/514] - Avg Loss: 1.6056, Current lr: 0.0004553046
Step [150/514] - Avg Loss: 1.6052, Current lr: 0.0004552605
Step [160/514] - Avg Loss: 1.6049, Current lr: 0.0004552165
Step [170/514] - Avg Loss: 1.6059, Current lr: 0.0004551724
Step [180/514] - Avg Loss: 1.6062, Current lr: 0.0004551283
Step [190/514] - Avg Loss: 1.6051, Current lr: 0.0004550841
Step [200/514] - Avg Loss: 1.6053, Current lr: 0.0004550400
Step [210/514] - Avg Loss: 1.6056, Current lr: 0.0004549958
Step [220/514] - Avg Loss: 1.6063, Current lr: 0.0004549517
Step [230/514] - Avg Loss: 1.6072, Current lr: 0.0004549075
Step [240/514] - Avg Loss: 1.6069, Current lr: 0.0004548632
Step [250/514] - Avg Loss: 1.6070, Current lr: 0.0004548190
Step [260/514] - Avg Loss: 1.6078, Current lr: 0.0004547747
Step [270/514] - Avg Loss: 1.6081, Current lr: 0.0004547305
Step [280/514] - Avg Loss: 1.6088, Current lr: 0.0004546862
Step [290/514] - Avg Loss: 1.6091, Current lr: 0.0004546418
Step [300/514] - Avg Loss: 1.6098, Current lr: 0.0004545975
Step [310/514] - Avg Loss: 1.6106, Current lr: 0.0004545531
Step [320/514] - Avg Loss: 1.6114, Current lr: 0.0004545088
Step [330/514] - Avg Loss: 1.6119, Current lr: 0.0004544644
Step [340/514] - Avg Loss: 1.6118, Current lr: 0.0004544199
Step [350/514] - Avg Loss: 1.6116, Current lr: 0.0004543755
Step [360/514] - Avg Loss: 1.6121, Current lr: 0.0004543311
Step [370/514] - Avg Loss: 1.6123, Current lr: 0.0004542866
Step [380/514] - Avg Loss: 1.6125, Current lr: 0.0004542421
Step [390/514] - Avg Loss: 1.6125, Current lr: 0.0004541976
Step [400/514] - Avg Loss: 1.6128, Current lr: 0.0004541530
Step [410/514] - Avg Loss: 1.6131, Current lr: 0.0004541085
Step [420/514] - Avg Loss: 1.6137, Current lr: 0.0004540639
Step [430/514] - Avg Loss: 1.6145, Current lr: 0.0004540193
Step [440/514] - Avg Loss: 1.6152, Current lr: 0.0004539747
Step [450/514] - Avg Loss: 1.6159, Current lr: 0.0004539301
Step [460/514] - Avg Loss: 1.6165, Current lr: 0.0004538854
Step [470/514] - Avg Loss: 1.6176, Current lr: 0.0004538408
Step [480/514] - Avg Loss: 1.6178, Current lr: 0.0004537961
Step [490/514] - Avg Loss: 1.6182, Current lr: 0.0004537514
Step [500/514] - Avg Loss: 1.6184, Current lr: 0.0004537066
Step [510/514] - Avg Loss: 1.6186, Current lr: 0.0004536619
Epoch [41] - Avg Loss: 1.6190
Epoch [41] - Start Eval
Eval - Avg Loss: 1.7550
Patience: 1/20
Epoch [42] - Start Training
Step [10/514] - Avg Loss: 1.5872, Current lr: 0.0004535992
Step [20/514] - Avg Loss: 1.5971, Current lr: 0.0004535544
Step [30/514] - Avg Loss: 1.5959, Current lr: 0.0004535096
Step [40/514] - Avg Loss: 1.5942, Current lr: 0.0004534648
Step [50/514] - Avg Loss: 1.5954, Current lr: 0.0004534199
Step [60/514] - Avg Loss: 1.5972, Current lr: 0.0004533751
Step [70/514] - Avg Loss: 1.5963, Current lr: 0.0004533302
Step [80/514] - Avg Loss: 1.5989, Current lr: 0.0004532853
Step [90/514] - Avg Loss: 1.5987, Current lr: 0.0004532403
Step [100/514] - Avg Loss: 1.5998, Current lr: 0.0004531954
Step [110/514] - Avg Loss: 1.6002, Current lr: 0.0004531504
Step [120/514] - Avg Loss: 1.6012, Current lr: 0.0004531054
Step [130/514] - Avg Loss: 1.6017, Current lr: 0.0004530604
Step [140/514] - Avg Loss: 1.6019, Current lr: 0.0004530154
Step [150/514] - Avg Loss: 1.6015, Current lr: 0.0004529703
Step [160/514] - Avg Loss: 1.6019, Current lr: 0.0004529253
Step [170/514] - Avg Loss: 1.6022, Current lr: 0.0004528802
Step [180/514] - Avg Loss: 1.6033, Current lr: 0.0004528351
Step [190/514] - Avg Loss: 1.6035, Current lr: 0.0004527900
Step [200/514] - Avg Loss: 1.6032, Current lr: 0.0004527448
Step [210/514] - Avg Loss: 1.6033, Current lr: 0.0004526997
Step [220/514] - Avg Loss: 1.6035, Current lr: 0.0004526545
Step [230/514] - Avg Loss: 1.6037, Current lr: 0.0004526093
Step [240/514] - Avg Loss: 1.6037, Current lr: 0.0004525641
Step [250/514] - Avg Loss: 1.6036, Current lr: 0.0004525188
Step [260/514] - Avg Loss: 1.6047, Current lr: 0.0004524736
Step [270/514] - Avg Loss: 1.6058, Current lr: 0.0004524283
Step [280/514] - Avg Loss: 1.6067, Current lr: 0.0004523830
Step [290/514] - Avg Loss: 1.6071, Current lr: 0.0004523377
Step [300/514] - Avg Loss: 1.6079, Current lr: 0.0004522923
Step [310/514] - Avg Loss: 1.6084, Current lr: 0.0004522470
Step [320/514] - Avg Loss: 1.6084, Current lr: 0.0004522016
Step [330/514] - Avg Loss: 1.6089, Current lr: 0.0004521562
Step [340/514] - Avg Loss: 1.6088, Current lr: 0.0004521108
Step [350/514] - Avg Loss: 1.6087, Current lr: 0.0004520654
Step [360/514] - Avg Loss: 1.6086, Current lr: 0.0004520199
Step [370/514] - Avg Loss: 1.6091, Current lr: 0.0004519745
Step [380/514] - Avg Loss: 1.6089, Current lr: 0.0004519290
Step [390/514] - Avg Loss: 1.6093, Current lr: 0.0004518835
Step [400/514] - Avg Loss: 1.6101, Current lr: 0.0004518379
Step [410/514] - Avg Loss: 1.6101, Current lr: 0.0004517924
Step [420/514] - Avg Loss: 1.6110, Current lr: 0.0004517468
Step [430/514] - Avg Loss: 1.6109, Current lr: 0.0004517012
Step [440/514] - Avg Loss: 1.6111, Current lr: 0.0004516556
Step [450/514] - Avg Loss: 1.6113, Current lr: 0.0004516100
Step [460/514] - Avg Loss: 1.6116, Current lr: 0.0004515644
Step [470/514] - Avg Loss: 1.6117, Current lr: 0.0004515187
Step [480/514] - Avg Loss: 1.6114, Current lr: 0.0004514730
Step [490/514] - Avg Loss: 1.6118, Current lr: 0.0004514273
Step [500/514] - Avg Loss: 1.6118, Current lr: 0.0004513816
Step [510/514] - Avg Loss: 1.6125, Current lr: 0.0004513359
Epoch [42] - Avg Loss: 1.6128
Epoch [42] - Start Eval
Eval - Avg Loss: 1.7528
Save model at epoch [42]
Epoch [43] - Start Training
Step [10/514] - Avg Loss: 1.5772, Current lr: 0.0004512718
Step [20/514] - Avg Loss: 1.5643, Current lr: 0.0004512260
Step [30/514] - Avg Loss: 1.5685, Current lr: 0.0004511802
Step [40/514] - Avg Loss: 1.5731, Current lr: 0.0004511344
Step [50/514] - Avg Loss: 1.5735, Current lr: 0.0004510885
Step [60/514] - Avg Loss: 1.5762, Current lr: 0.0004510427
Step [70/514] - Avg Loss: 1.5793, Current lr: 0.0004509968
Step [80/514] - Avg Loss: 1.5799, Current lr: 0.0004509509
Step [90/514] - Avg Loss: 1.5811, Current lr: 0.0004509050
Step [100/514] - Avg Loss: 1.5826, Current lr: 0.0004508590
Step [110/514] - Avg Loss: 1.5848, Current lr: 0.0004508131
Step [120/514] - Avg Loss: 1.5874, Current lr: 0.0004507671
Step [130/514] - Avg Loss: 1.5857, Current lr: 0.0004507211
Step [140/514] - Avg Loss: 1.5874, Current lr: 0.0004506751
Step [150/514] - Avg Loss: 1.5897, Current lr: 0.0004506291
Step [160/514] - Avg Loss: 1.5911, Current lr: 0.0004505830
Step [170/514] - Avg Loss: 1.5919, Current lr: 0.0004505369
Step [180/514] - Avg Loss: 1.5934, Current lr: 0.0004504909
Step [190/514] - Avg Loss: 1.5941, Current lr: 0.0004504447
Step [200/514] - Avg Loss: 1.5943, Current lr: 0.0004503986
Step [210/514] - Avg Loss: 1.5943, Current lr: 0.0004503525
Step [220/514] - Avg Loss: 1.5944, Current lr: 0.0004503063
Step [230/514] - Avg Loss: 1.5951, Current lr: 0.0004502601
Step [240/514] - Avg Loss: 1.5956, Current lr: 0.0004502139
Step [250/514] - Avg Loss: 1.5959, Current lr: 0.0004501677
Step [260/514] - Avg Loss: 1.5960, Current lr: 0.0004501214
Step [270/514] - Avg Loss: 1.5965, Current lr: 0.0004500752
Step [280/514] - Avg Loss: 1.5964, Current lr: 0.0004500289
Step [290/514] - Avg Loss: 1.5962, Current lr: 0.0004499826
Step [300/514] - Avg Loss: 1.5969, Current lr: 0.0004499363
Step [310/514] - Avg Loss: 1.5969, Current lr: 0.0004498899
Step [320/514] - Avg Loss: 1.5977, Current lr: 0.0004498436
Step [330/514] - Avg Loss: 1.5985, Current lr: 0.0004497972
Step [340/514] - Avg Loss: 1.5991, Current lr: 0.0004497508
Step [350/514] - Avg Loss: 1.5990, Current lr: 0.0004497044
Step [360/514] - Avg Loss: 1.5990, Current lr: 0.0004496579
Step [370/514] - Avg Loss: 1.5998, Current lr: 0.0004496115
Step [380/514] - Avg Loss: 1.5999, Current lr: 0.0004495650
Step [390/514] - Avg Loss: 1.5997, Current lr: 0.0004495185
Step [400/514] - Avg Loss: 1.5998, Current lr: 0.0004494720
Step [410/514] - Avg Loss: 1.6004, Current lr: 0.0004494255
Step [420/514] - Avg Loss: 1.6012, Current lr: 0.0004493789
Step [430/514] - Avg Loss: 1.6019, Current lr: 0.0004493324
Step [440/514] - Avg Loss: 1.6023, Current lr: 0.0004492858
Step [450/514] - Avg Loss: 1.6027, Current lr: 0.0004492392
Step [460/514] - Avg Loss: 1.6029, Current lr: 0.0004491926
Step [470/514] - Avg Loss: 1.6034, Current lr: 0.0004491459
Step [480/514] - Avg Loss: 1.6040, Current lr: 0.0004490993
Step [490/514] - Avg Loss: 1.6045, Current lr: 0.0004490526
Step [500/514] - Avg Loss: 1.6050, Current lr: 0.0004490059
Step [510/514] - Avg Loss: 1.6044, Current lr: 0.0004489592
Epoch [43] - Avg Loss: 1.6045
Epoch [43] - Start Eval
Eval - Avg Loss: 1.7509
Save model at epoch [43]
Epoch [44] - Start Training
Step [10/514] - Avg Loss: 1.5631, Current lr: 0.0004488937
Step [20/514] - Avg Loss: 1.5798, Current lr: 0.0004488469
Step [30/514] - Avg Loss: 1.5770, Current lr: 0.0004488002
Step [40/514] - Avg Loss: 1.5759, Current lr: 0.0004487534
Step [50/514] - Avg Loss: 1.5777, Current lr: 0.0004487065
Step [60/514] - Avg Loss: 1.5769, Current lr: 0.0004486597
Step [70/514] - Avg Loss: 1.5786, Current lr: 0.0004486128
Step [80/514] - Avg Loss: 1.5796, Current lr: 0.0004485660
Step [90/514] - Avg Loss: 1.5812, Current lr: 0.0004485191
Step [100/514] - Avg Loss: 1.5806, Current lr: 0.0004484721
Step [110/514] - Avg Loss: 1.5798, Current lr: 0.0004484252
Step [120/514] - Avg Loss: 1.5790, Current lr: 0.0004483783
Step [130/514] - Avg Loss: 1.5799, Current lr: 0.0004483313
Step [140/514] - Avg Loss: 1.5811, Current lr: 0.0004482843
Step [150/514] - Avg Loss: 1.5830, Current lr: 0.0004482373
Step [160/514] - Avg Loss: 1.5838, Current lr: 0.0004481903
Step [170/514] - Avg Loss: 1.5847, Current lr: 0.0004481432
Step [180/514] - Avg Loss: 1.5853, Current lr: 0.0004480961
Step [190/514] - Avg Loss: 1.5858, Current lr: 0.0004480491
Step [200/514] - Avg Loss: 1.5859, Current lr: 0.0004480019
Step [210/514] - Avg Loss: 1.5877, Current lr: 0.0004479548
Step [220/514] - Avg Loss: 1.5883, Current lr: 0.0004479077
Step [230/514] - Avg Loss: 1.5887, Current lr: 0.0004478605
Step [240/514] - Avg Loss: 1.5898, Current lr: 0.0004478133
Step [250/514] - Avg Loss: 1.5908, Current lr: 0.0004477661
Step [260/514] - Avg Loss: 1.5903, Current lr: 0.0004477189
Step [270/514] - Avg Loss: 1.5917, Current lr: 0.0004476717
Step [280/514] - Avg Loss: 1.5918, Current lr: 0.0004476244
Step [290/514] - Avg Loss: 1.5917, Current lr: 0.0004475772
Step [300/514] - Avg Loss: 1.5914, Current lr: 0.0004475299
Step [310/514] - Avg Loss: 1.5921, Current lr: 0.0004474825
Step [320/514] - Avg Loss: 1.5916, Current lr: 0.0004474352
Step [330/514] - Avg Loss: 1.5921, Current lr: 0.0004473879
Step [340/514] - Avg Loss: 1.5928, Current lr: 0.0004473405
Step [350/514] - Avg Loss: 1.5937, Current lr: 0.0004472931
Step [360/514] - Avg Loss: 1.5942, Current lr: 0.0004472457
Step [370/514] - Avg Loss: 1.5951, Current lr: 0.0004471983
Step [380/514] - Avg Loss: 1.5952, Current lr: 0.0004471508
Step [390/514] - Avg Loss: 1.5958, Current lr: 0.0004471034
Step [400/514] - Avg Loss: 1.5964, Current lr: 0.0004470559
Step [410/514] - Avg Loss: 1.5966, Current lr: 0.0004470084
Step [420/514] - Avg Loss: 1.5969, Current lr: 0.0004469609
Step [430/514] - Avg Loss: 1.5964, Current lr: 0.0004469133
Step [440/514] - Avg Loss: 1.5965, Current lr: 0.0004468658
Step [450/514] - Avg Loss: 1.5968, Current lr: 0.0004468182
Step [460/514] - Avg Loss: 1.5965, Current lr: 0.0004467706
Step [470/514] - Avg Loss: 1.5964, Current lr: 0.0004467230
Step [480/514] - Avg Loss: 1.5965, Current lr: 0.0004466754
Step [490/514] - Avg Loss: 1.5967, Current lr: 0.0004466277
Step [500/514] - Avg Loss: 1.5973, Current lr: 0.0004465800
Step [510/514] - Avg Loss: 1.5976, Current lr: 0.0004465324
Epoch [44] - Avg Loss: 1.5974
Epoch [44] - Start Eval
Eval - Avg Loss: 1.7508
Save model at epoch [44]
Epoch [45] - Start Training
Step [10/514] - Avg Loss: 1.5863, Current lr: 0.0004464656
Step [20/514] - Avg Loss: 1.5803, Current lr: 0.0004464178
Step [30/514] - Avg Loss: 1.5796, Current lr: 0.0004463701
Step [40/514] - Avg Loss: 1.5767, Current lr: 0.0004463223
Step [50/514] - Avg Loss: 1.5745, Current lr: 0.0004462745
Step [60/514] - Avg Loss: 1.5773, Current lr: 0.0004462267
Step [70/514] - Avg Loss: 1.5763, Current lr: 0.0004461789
Step [80/514] - Avg Loss: 1.5765, Current lr: 0.0004461310
Step [90/514] - Avg Loss: 1.5772, Current lr: 0.0004460832
Step [100/514] - Avg Loss: 1.5772, Current lr: 0.0004460353
Step [110/514] - Avg Loss: 1.5770, Current lr: 0.0004459874
Step [120/514] - Avg Loss: 1.5786, Current lr: 0.0004459395
Step [130/514] - Avg Loss: 1.5793, Current lr: 0.0004458915
Step [140/514] - Avg Loss: 1.5799, Current lr: 0.0004458436
Step [150/514] - Avg Loss: 1.5798, Current lr: 0.0004457956
Step [160/514] - Avg Loss: 1.5795, Current lr: 0.0004457476
Step [170/514] - Avg Loss: 1.5808, Current lr: 0.0004456996
Step [180/514] - Avg Loss: 1.5817, Current lr: 0.0004456516
Step [190/514] - Avg Loss: 1.5802, Current lr: 0.0004456035
Step [200/514] - Avg Loss: 1.5808, Current lr: 0.0004455554
Step [210/514] - Avg Loss: 1.5816, Current lr: 0.0004455074
Step [220/514] - Avg Loss: 1.5827, Current lr: 0.0004454592
Step [230/514] - Avg Loss: 1.5831, Current lr: 0.0004454111
Step [240/514] - Avg Loss: 1.5828, Current lr: 0.0004453630
Step [250/514] - Avg Loss: 1.5830, Current lr: 0.0004453148
Step [260/514] - Avg Loss: 1.5839, Current lr: 0.0004452666
Step [270/514] - Avg Loss: 1.5842, Current lr: 0.0004452184
Step [280/514] - Avg Loss: 1.5846, Current lr: 0.0004451702
Step [290/514] - Avg Loss: 1.5847, Current lr: 0.0004451220
Step [300/514] - Avg Loss: 1.5854, Current lr: 0.0004450737
Step [310/514] - Avg Loss: 1.5855, Current lr: 0.0004450255
Step [320/514] - Avg Loss: 1.5858, Current lr: 0.0004449772
Step [330/514] - Avg Loss: 1.5863, Current lr: 0.0004449288
Step [340/514] - Avg Loss: 1.5867, Current lr: 0.0004448805
Step [350/514] - Avg Loss: 1.5867, Current lr: 0.0004448322
